timestamp,price,qty
2025-05-23 15:35:31,110747.00,0.001
2025-05-23 15:35:33,110743.90,0.001
2025-05-23 15:35:36,110743.70,0.028
2025-05-23 15:35:38,110740.50,0.001
2025-05-23 15:35:40,110738.10,0.001
2025-05-23 15:35:42,110731.50,0.003
2025-05-23 15:35:45,110731.50,0.003
2025-05-23 15:35:47,110731.50,0.059
2025-05-23 15:35:49,110731.60,0.217
2025-05-23 15:35:51,110731.60,0.001
2025-05-23 15:35:54,110731.50,0.001
2025-05-23 15:35:56,110731.50,0.001
2025-05-23 15:35:58,110730.00,0.003
2025-05-23 15:36:00,110729.30,0.001
2025-05-23 15:36:03,110728.50,0.001
2025-05-23 15:36:05,110720.60,0.015
2025-05-23 15:36:07,110720.50,0.005
2025-05-23 15:36:09,110720.50,0.001
2025-05-23 15:36:12,110720.50,0.018
2025-05-23 15:36:14,110712.80,0.207
2025-05-23 15:36:16,110712.90,0.071
2025-05-23 15:36:18,110712.90,0.001
2025-05-23 15:36:21,110712.90,0.014
2025-05-23 15:36:23,110712.90,0.001
2025-05-23 15:36:25,110712.90,0.467
2025-05-23 15:36:27,110712.90,0.038
2025-05-23 15:36:29,110712.90,0.003
2025-05-23 15:36:32,110713.80,0.001
2025-05-23 15:36:34,110717.60,0.001
2025-05-23 15:36:36,110718.70,0.002
2025-05-23 15:36:38,110719.90,0.139
2025-05-23 15:36:41,110719.90,0.002
2025-05-23 15:36:43,110719.20,0.004
2025-05-23 15:36:45,110717.50,0.024
2025-05-23 15:36:47,110716.40,0.036
2025-05-23 15:36:50,110717.10,0.023
2025-05-23 15:36:52,110717.00,0.070
2025-05-23 15:36:54,110717.00,0.003
2025-05-23 15:36:56,110717.00,0.004
2025-05-23 15:36:59,110717.00,0.004
2025-05-23 15:37:01,110716.90,0.001
2025-05-23 15:37:03,110716.90,0.003
2025-05-23 15:37:05,110716.90,0.005
2025-05-23 15:37:08,110716.90,0.051
2025-05-23 15:37:10,110717.00,0.029
2025-05-23 15:37:12,110717.00,0.009
2025-05-23 15:37:14,110717.00,0.100
2025-05-23 15:37:17,110716.90,0.022
2025-05-23 15:37:19,110717.00,0.021
2025-05-23 15:37:21,110717.00,0.196
2025-05-23 15:37:23,110715.70,0.001
2025-05-23 15:37:26,110713.00,0.458
2025-05-23 15:37:28,110712.70,0.007
2025-05-23 15:37:30,110712.70,0.004
2025-05-23 15:37:32,110712.80,0.040
2025-05-23 15:37:35,110712.80,0.100
2025-05-23 15:37:37,110712.80,0.009
2025-05-23 15:37:39,110712.90,0.007
2025-05-23 15:37:41,110713.30,0.019
2025-05-23 15:37:43,110715.00,0.002
2025-05-23 15:37:46,110715.20,0.004
2025-05-23 15:37:48,110715.20,0.009
2025-05-23 15:37:50,110715.10,0.002
2025-05-23 15:37:52,110715.10,0.001
2025-05-23 15:37:55,110715.20,0.023
2025-05-23 15:37:57,110715.20,0.004
2025-05-23 15:37:59,110715.20,0.006
2025-05-23 15:38:01,110715.10,0.002
2025-05-23 15:43:43,110685.70,0.008
2025-05-23 15:43:45,110685.70,0.004
2025-05-23 15:43:47,110690.60,0.001
2025-05-23 15:43:50,110699.20,0.001
2025-05-23 15:43:52,110699.20,0.014
2025-05-23 15:43:54,110699.30,0.027
2025-05-23 15:43:56,110699.10,0.001
2025-05-23 15:43:59,110695.50,0.023
2025-05-23 15:44:01,110676.20,0.080
2025-05-23 15:44:03,110667.50,0.002
2025-05-23 15:44:05,110672.00,0.006
2025-05-23 15:44:08,110672.10,0.003
2025-05-23 15:44:10,110678.30,0.002
2025-05-23 15:44:12,110680.20,0.445
2025-05-23 15:44:14,110697.50,0.009
2025-05-23 15:44:17,110699.10,0.088
2025-05-23 15:44:19,110699.20,0.001
2025-05-23 15:44:21,110699.30,0.001
2025-05-23 15:44:23,110699.30,0.002
2025-05-23 15:44:26,110705.40,0.014
2025-05-23 15:44:28,110708.90,0.001
2025-05-23 15:44:30,110709.90,0.009
2025-05-23 15:44:32,110709.90,0.300
2025-05-23 15:44:34,110709.90,0.001
2025-05-23 15:44:37,110710.50,0.001
2025-05-23 15:44:39,110715.00,0.001
2025-05-23 15:44:41,110717.50,0.006
2025-05-23 15:44:43,110717.50,0.001
2025-05-23 15:44:46,110717.40,0.002
2025-05-23 15:44:48,110717.50,0.005
2025-05-23 15:44:50,110717.50,0.010
2025-05-23 15:44:52,110718.20,0.001
2025-05-23 15:44:55,110719.30,0.001
2025-05-23 15:44:57,110726.70,0.002
2025-05-23 15:44:59,110727.10,0.002
2025-05-23 15:45:01,110727.90,0.001
2025-05-23 15:45:04,110727.80,0.003
2025-05-23 15:45:06,110727.90,0.019
2025-05-23 15:45:08,110727.80,0.189
2025-05-23 15:45:10,110727.80,0.088
2025-05-23 15:45:13,110727.80,0.070
2025-05-23 15:45:15,110727.90,0.007
2025-05-23 15:45:17,110727.90,0.960
2025-05-23 15:45:19,110727.10,0.001
2025-05-23 15:45:21,110714.30,0.002
2025-05-23 15:45:24,110713.50,0.007
2025-05-23 15:45:26,110712.40,0.002
2025-05-23 15:45:28,110710.00,0.001
2025-05-23 15:45:30,110713.00,0.001
2025-05-23 15:45:33,110711.10,0.024
2025-05-23 15:45:35,110707.10,0.160
2025-05-23 15:45:37,110709.60,0.001
2025-05-23 15:45:39,110713.30,0.451
2025-05-23 15:45:42,110713.30,0.311
2025-05-23 15:45:44,110713.20,0.003
2025-05-23 15:45:46,110713.20,0.001
2025-05-23 15:45:48,110709.90,0.002
2025-05-23 15:45:51,110707.10,0.020
2025-05-23 15:45:53,110709.30,0.001
2025-05-23 15:45:55,110703.80,0.001
2025-05-23 15:45:57,110702.40,0.003
2025-05-23 15:46:00,110716.30,0.001
2025-05-23 15:46:02,110703.70,0.002
2025-05-23 15:46:04,110701.40,0.002
2025-05-23 15:46:06,110693.60,0.020
